Serial Number:20850766 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-08 10:35:54,30.54,"1,482", , , , , 
2022-06-08 10:37:54,30.54,"1,450", , , , , 
2022-06-08 10:39:54,30.50,"1,358", , , , , 
2022-06-08 10:41:54,30.50,"1,364", , , , , 
2022-06-08 10:43:54,30.50,"1,498", , , , , 
2022-06-08 10:45:54,30.54,"1,358", , , , , 
2022-06-08 10:47:54,30.50,"1,270", , , , , 
2022-06-08 10:49:54,30.50,"1,260", , , , , 
2022-06-08 10:51:54,30.50,"1,306", , , , , 
2022-06-08 10:53:54,30.59,"1,076", , , , , 
2022-06-08 10:55:54,30.54,812, , , , , 
2022-06-08 10:57:54,30.54,883, , , , , 
2022-06-08 10:59:54,30.54,913, , , , , 
2022-06-08 11:01:54,30.54,923, , , , , 
2022-06-08 11:03:54,30.46,"1,139", , , , , 
2022-06-08 11:05:54,30.54,755, , , , , 
2022-06-08 11:07:54,30.59,837, , , , , 
2022-06-08 11:09:54,30.54,"1,053", , , , , 
2022-06-08 11:11:54,30.59,"1,284", , , , , 
2022-06-08 11:13:54,30.63,"1,306", , , , , 
2022-06-08 11:15:54,30.59,978, , , , , 
2022-06-08 11:17:54,30.71,994, , , , , 
2022-06-08 11:19:54,30.76,"1,072", , , , , 
2022-06-08 11:21:54,30.71,986, , , , , 
2022-06-08 11:23:54,30.67,966, , , , , 
2022-06-08 11:25:54,30.63,326, , , , , 
2022-06-08 11:27:54,30.71,201, , , , , 
2022-06-08 11:29:54,30.89,276, , , , , 
2022-06-08 11:31:54,30.89,453, , , , , 
2022-06-08 11:33:54,30.93,510, , , , , 
2022-06-08 11:35:54,30.93,571, , , , , 
2022-06-08 11:37:54,30.89,535, , , , , 
2022-06-08 11:39:54,30.76,570, , , , , 
2022-06-08 11:41:54,30.76,405, , , , , 
2022-06-08 11:43:54,30.63,433, , , , , 
2022-06-08 11:45:54,30.50,595, , , , , 
2022-06-08 11:47:54,30.54,523, , , , , 
2022-06-08 11:49:54,30.54,833, , , , , 
2022-06-08 11:51:54,30.54,684, , , , , 
2022-06-08 11:53:54,30.54,903, , , , , 
2022-06-08 11:55:54,30.54,896, , , , , 
2022-06-08 11:57:54,30.50,993, , , , , 
2022-06-08 11:59:54,30.71,"11,576", , , , , 
2022-06-08 12:01:54,30.80,"11,530", , , , , 
2022-06-08 12:03:54,30.80,"11,525", , , , , 
2022-06-08 12:05:54,30.80,"11,351", , , , , 
2022-06-08 12:07:54,30.84,"11,428", , , , , 
2022-06-08 12:09:54,30.89,"11,433", , , , , 
2022-06-08 12:11:54,30.80,"11,392", , , , , 
2022-06-08 12:13:54,30.84,"11,418", , , , , 
2022-06-08 12:15:54,30.84,"11,566", , , , , 
2022-06-08 12:17:54,30.80,"11,551", , , , , 
2022-06-08 12:19:54,30.84,"11,551", , , , , 
2022-06-08 12:21:54,30.76,"11,315", , , , , 
2022-06-08 12:23:54,30.80,"10,926", , , , , 
2022-06-08 12:25:54,30.84,"11,223", , , , , 
2022-06-08 12:27:54,30.80,"10,957", , , , , 
2022-06-08 12:29:54,30.76,"11,346", , , , , 
2022-06-08 12:31:54,30.89,"11,295", , , , , 
2022-06-08 12:33:54,30.80,"10,926", , , , , 
2022-06-08 12:35:54,30.76,"11,325", , , , , 
2022-06-08 12:37:54,30.84,"11,981", , , , , 
2022-06-08 12:39:54,30.84,"11,505", , , , , 
2022-06-08 12:41:54,30.80,"12,672", , , , , 
2022-06-08 12:43:54,30.84,"8,824", , , , , 
2022-06-08 12:45:54,30.89,"12,150", , , , , 
2022-06-08 12:47:54,30.84,"13,430", , , , , 
2022-06-08 12:49:54,30.84,"13,778", , , , , 
2022-06-08 12:51:54,30.89,"8,410", , , , , 
2022-06-08 12:53:54,30.80,"9,234", , , , , 
2022-06-08 12:55:54,30.84,"13,870", , , , , 
2022-06-08 12:57:54,30.76,"4,946", , , , , 
2022-06-08 12:59:54,30.89,"16,681", , , , , 
2022-06-08 13:01:54,30.93,"16,742", , , , , 
2022-06-08 13:03:54,30.89,"16,225", , , , , 
2022-06-08 13:05:54,30.93,"16,947", , , , , 
2022-06-08 13:07:54,30.93,"16,717", , , , , 
2022-06-08 13:09:54,30.97,"17,684", , , , , 
2022-06-08 13:11:54,30.97,"16,732", , , , , 
2022-06-08 13:13:54,30.97,"15,718", , , , , 
2022-06-08 13:15:54,31.01,"17,213", , , , , 
2022-06-08 13:17:54,30.97,"17,423", , , , , 
2022-06-08 13:19:54,31.01,"17,029", , , , , 
2022-06-08 13:21:54,30.97,"17,085", , , , , 
2022-06-08 13:23:54,31.01,"17,418", , , , , 
2022-06-08 13:25:54,30.97,"17,121", , , , , 
2022-06-08 13:27:54,30.97,"16,215", , , , , 
2022-06-08 13:29:54,30.97,"16,993", , , , , 
2022-06-08 13:31:54,31.01,"16,589", , , , , 
2022-06-08 13:33:54,31.06,"17,167", , , , , 
2022-06-08 13:35:54,30.97,"16,374", , , , , 
2022-06-08 13:37:54,30.97,"16,430", , , , , 
2022-06-08 13:39:54,30.93,"16,215", , , , , 
2022-06-08 13:41:54,30.93,"17,111", , , , , 
2022-06-08 13:43:54,30.89,"16,701", , , , , 
2022-06-08 13:45:54,30.89,"16,502", , , , , 
2022-06-08 13:47:54,30.84,"16,901", , , , , 
2022-06-08 13:49:54,30.84,"17,275", , , , , 
2022-06-08 13:51:54,30.84,"17,372", , , , , 
2022-06-08 13:53:54,30.89,"16,778", , , , , 
2022-06-08 13:55:54,30.84,"17,249", , , , , 
2022-06-08 13:57:54,30.84,"17,121", , , , , 
2022-06-08 13:59:54,30.80,"16,625", , , , , 
2022-06-08 14:01:54,30.76,"16,707", , , , , 
2022-06-08 14:03:54,30.76,"15,575", , , , , 
2022-06-08 14:05:54,30.76,"15,544", , , , , 
2022-06-08 14:07:54,30.84,"15,713", , , , , 
2022-06-08 14:09:54,30.93,"15,555", , , , , 
2022-06-08 14:11:54,30.93,"15,053", , , , , 
2022-06-08 14:13:54,30.97,"15,421", , , , , 
2022-06-08 14:15:54,31.10,"17,075", , , , , 
2022-06-08 14:17:54,31.14,"16,594", , , , , 
2022-06-08 14:19:54,31.19,"16,963", , , , , 
2022-06-08 14:21:54,31.23,"16,932", , , , , 
2022-06-08 14:23:54,31.31,"16,246", , , , , 
2022-06-08 14:25:54,31.36,"16,707", , , , , 
2022-06-08 14:27:54,31.40,"16,205", , , , , 
2022-06-08 14:29:54,31.44,"16,681", , , , , 
2022-06-08 14:31:54,31.44,"16,031", , , , , 
2022-06-08 14:33:54,31.53,"15,949", , , , , 
2022-06-08 14:35:54,31.61,"16,584", , , , , 
2022-06-08 14:37:54,31.66,"15,503", , , , , 
2022-06-08 14:39:54,31.70,"16,220", , , , , 
2022-06-08 14:41:54,31.74,"15,345", , , , , 
2022-06-08 14:43:54,31.79,"17,413", , , , , 
2022-06-08 14:45:54,31.83,"15,974", , , , , 
2022-06-08 14:47:54,31.87,"16,154", , , , , 
2022-06-08 14:49:54,31.87,"16,271", , , , , 
2022-06-08 14:51:54,31.96,"15,826", , , , , 
2022-06-08 14:53:54,32.00,"15,985", , , , , 
2022-06-08 14:55:54,32.04,"15,544", , , , , 
2022-06-08 14:57:54,32.17,"16,061", , , , , 
2022-06-08 14:59:54,32.13,"15,570", , , , , 
2022-06-08 15:01:54,32.13,"16,282", , , , , 
2022-06-08 15:03:54,32.17,"14,792", , , , , 
2022-06-08 15:05:54,32.22,"14,868", , , , , 
2022-06-08 15:07:54,32.30,"14,561", , , , , 
2022-06-08 15:09:54,32.34,"14,925", , , , , 
2022-06-08 15:11:54,32.47,"15,212", , , , , 
2022-06-08 15:13:54,32.52,"15,176", , , , , 
2022-06-08 15:15:54,32.64,"15,237", , , , , 
2022-06-08 15:17:54,32.73,"15,304", , , , , 
2022-06-08 15:19:44, , ,Logged,Logged, , , 
2022-06-08 15:19:54,32.73,"13,645", , , , , 
2022-06-08 15:21:54,32.82,"15,555", , , , , 
2022-06-08 15:23:54,32.82,"14,915", , , , , 
2022-06-08 15:25:54,32.86,"15,386", , , , , 
2022-06-08 15:27:54,32.86,"15,130", , , , , 
2022-06-08 15:29:54,32.86,"15,099", , , , , 
2022-06-08 15:31:54,32.94,"15,176", , , , , 
2022-06-08 15:33:54,32.99,"15,222", , , , , 
2022-06-08 15:35:54,33.03,"15,662", , , , , 
2022-06-08 15:37:54,33.03,"15,155", , , , , 
2022-06-08 15:39:54,33.12,"15,186", , , , , 
2022-06-08 15:41:54,33.16,"15,304", , , , , 
2022-06-08 15:43:54,33.16,"15,155", , , , , 
2022-06-08 15:45:54,33.25,"14,971", , , , , 
2022-06-08 15:47:54,33.20,"15,073", , , , , 
2022-06-08 15:49:54,33.25,"15,053", , , , , 
2022-06-08 15:51:54,33.29,"14,838", , , , , 
2022-06-08 15:53:54,33.33,"15,119", , , , , 
2022-06-08 15:55:54,33.42,"14,740", , , , , 
2022-06-08 15:57:54,33.50,"14,751", , , , , 
2022-06-08 15:59:54,33.46,"14,572", , , , , 
2022-06-08 16:01:54,33.55,"16,087", , , , , 
2022-06-08 16:03:54,33.59,"15,898", , , , , 
2022-06-08 16:05:54,33.55,"15,898", , , , , 
2022-06-08 16:07:54,33.59,"16,317", , , , , 
2022-06-08 16:09:54,33.55,"15,370", , , , , 
2022-06-08 16:11:54,33.76,"15,672", , , , , 
2022-06-08 16:13:54,34.06,"15,478", , , , , 
2022-06-08 16:15:54,34.15,"15,580", , , , , 
2022-06-08 16:17:54,34.15,"15,898", , , , , 
2022-06-08 16:19:54,34.27,"15,503", , , , , 
2022-06-08 16:21:54,34.40,"15,974", , , , , 
2022-06-08 16:23:54,34.45,"15,258", , , , , 
2022-06-08 16:25:54,34.40,"15,416", , , , , 
2022-06-08 16:27:54,34.49,"15,826", , , , , 
2022-06-08 16:29:54,34.53,"14,981", , , , , 
2022-06-08 16:31:54,34.53,"15,483", , , , , 
2022-06-08 16:33:54,34.57,"15,432", , , , , 
2022-06-08 16:35:54,34.70,"15,416", , , , , 
2022-06-08 16:37:54,34.66,"15,508", , , , , 
2022-06-08 16:39:54,34.70,"15,764", , , , , 
2022-06-08 16:41:54,34.88,"15,821", , , , , 
2022-06-08 16:43:54,34.92,"15,647", , , , , 
2022-06-08 16:45:54,34.88,"15,601", , , , , 
2022-06-08 16:47:54,34.92,"15,524", , , , , 
2022-06-08 16:49:54,35.00,"15,959", , , , , 
2022-06-08 16:51:54,34.96,"15,647", , , , , 
2022-06-08 16:53:54,35.13,"15,283", , , , , 
2022-06-08 16:55:54,35.18,"15,846", , , , , 
2022-06-08 16:57:54,35.13,"15,396", , , , , 
2022-06-08 16:59:54,35.22,"15,457", , , , , 
2022-06-08 17:01:54,35.22,"15,483", , , , , 
2022-06-08 17:03:54,35.30,"15,130", , , , , 
2022-06-08 17:05:54,35.73,"15,375", , , , , 
2022-06-08 17:07:54,35.73,"15,299", , , , , 
2022-06-08 17:09:54,35.95,"15,304", , , , , 
2022-06-08 17:11:54,36.72,"15,831", , , , , 
2022-06-08 17:13:54,36.21,"15,857", , , , , 
2022-06-08 17:15:54,35.95,"15,222", , , , , 
2022-06-08 17:17:54,36.42,"15,416", , , , , 
2022-06-08 17:19:54,36.42,"15,662", , , , , 
2022-06-08 17:21:54,36.08,"15,222", , , , , 
2022-06-08 17:23:54,36.08,"15,222", , , , , 
2022-06-08 17:25:54,36.59,"15,206", , , , , 
2022-06-08 17:27:54,36.12,"15,590", , , , , 
2022-06-08 17:29:54,35.99,"15,468", , , , , 
2022-06-08 17:31:54,36.55,"15,350", , , , , 
2022-06-08 17:33:54,35.99,"15,191", , , , , 
2022-06-08 17:35:54,36.76,"15,508", , , , , 
2022-06-08 17:37:54,36.21,"15,227", , , , , 
2022-06-08 17:39:54,36.16,"15,391", , , , , 
2022-06-08 17:41:54,36.29,"15,043", , , , , 
2022-06-08 17:43:54,36.38,"15,304", , , , , 
2022-06-08 17:45:54,35.99,"15,478", , , , , 
2022-06-08 17:47:54,36.76,"15,345", , , , , 
2022-06-08 17:49:54,36.03,"15,181", , , , , 
2022-06-08 17:51:54,36.08,"15,319", , , , , 
2022-06-08 17:53:54,36.55,"15,212", , , , , 
2022-06-08 17:55:54,36.12,"15,068", , , , , 
2022-06-08 17:57:54,36.03,"14,858", , , , , 
2022-06-08 17:59:54,36.72,"14,756", , , , , 
2022-06-08 18:01:54,36.59,"14,198", , , , , 
2022-06-08 18:03:54,36.38,"13,880", , , , , 
2022-06-08 18:05:54,37.66,"14,377", , , , , 
2022-06-08 18:07:54,36.89,"13,926", , , , , 
2022-06-08 18:09:54,36.72,"14,019", , , , , 
2022-06-08 18:11:54,37.96,"14,100", , , , , 
2022-06-08 18:13:54,36.89,"14,085", , , , , 
2022-06-08 18:15:54,37.92,"13,686", , , , , 
2022-06-08 18:17:54,37.02,"13,850", , , , , 
2022-06-08 18:19:54,37.45,"13,829", , , , , 
2022-06-08 18:21:54,37.66,"13,875", , , , , 
2022-06-08 18:23:54,36.59,"13,814", , , , , 
2022-06-08 18:25:54,37.88,"14,095", , , , , 
2022-06-08 18:27:54,36.93,"14,157", , , , , 
2022-06-08 18:29:54,37.54,"13,834", , , , , 
2022-06-08 18:31:54,37.32,"14,198", , , , , 
2022-06-08 18:33:54,36.63,"14,177", , , , , 
2022-06-08 18:35:54,38.05,"14,285", , , , , 
2022-06-08 18:37:54,36.81,"14,167", , , , , 
2022-06-08 18:39:54,37.41,"14,008", , , , , 
2022-06-08 18:41:54,37.32,"14,167", , , , , 
2022-06-08 18:43:54,36.93,"14,034", , , , , 
2022-06-08 18:45:54,37.96,"14,147", , , , , 
2022-06-08 18:47:54,36.85,"14,019", , , , , 
2022-06-08 18:49:54,37.92,"13,870", , , , , 
2022-06-08 18:51:54,36.89,"13,711", , , , , 
2022-06-08 18:53:54,37.62,"13,988", , , , , 
2022-06-08 18:55:54,37.28,"13,568", , , , , 
2022-06-08 18:57:54,36.98,"13,783", , , , , 
2022-06-08 18:59:54,37.75,"13,650", , , , , 
2022-06-08 19:01:54,36.55,"13,901", , , , , 
2022-06-08 19:03:54,37.88,"13,691", , , , , 
2022-06-08 19:05:54,37.06,"13,501", , , , , 
2022-06-08 19:07:54,36.68,"13,302", , , , , 
2022-06-08 19:09:54,38.48,"13,317", , , , , 
2022-06-08 19:11:54,37.54,"13,235", , , , , 
2022-06-08 19:13:54,36.55,"13,297", , , , , 
2022-06-08 19:15:54,37.32,"13,292", , , , , 
2022-06-08 19:17:54,38.39,"13,691", , , , , 
2022-06-08 19:19:54,37.62,"13,501", , , , , 
2022-06-08 19:21:54,36.81,"13,256", , , , , 
2022-06-08 19:23:54,37.32,"13,051", , , , , 
2022-06-08 19:25:54,38.74,"13,394", , , , , 
2022-06-08 19:27:54,37.15,"13,373", , , , , 
2022-06-08 19:29:54,36.72,"13,512", , , , , 
2022-06-08 19:31:54,38.61,"13,716", , , , , 
2022-06-08 19:33:54,36.38,"14,940", , , , , 
2022-06-08 19:35:54,36.98,"13,384", , , , , 
2022-06-08 19:37:54,36.25,"13,548", , , , , 
2022-06-08 19:39:54,36.93,"13,614", , , , , 
2022-06-08 19:41:54,36.12,"13,901", , , , , 
2022-06-08 19:43:54,37.11,"13,732", , , , , 
2022-06-08 19:45:54,36.03,"13,757", , , , , 
2022-06-08 19:47:54,37.02,"13,455", , , , , 
2022-06-08 19:49:54,36.12,"11,904", , , , , 
2022-06-08 19:51:54,36.89,"12,815", , , , , 
2022-06-08 19:53:54,36.12,"12,365", , , , , 
2022-06-08 19:55:54,36.72,"12,570", , , , , 
2022-06-08 19:57:54,36.51,"12,774", , , , , 
2022-06-08 19:59:54,36.76,"13,947", , , , , 
2022-06-08 20:01:54,36.72,21, , , , , 
2022-06-08 20:03:54,36.25,17, , , , , 
2022-06-08 20:05:54,35.65,15, , , , , 
2022-06-08 20:07:54,35.52,12, , , , , 
2022-06-08 20:09:54,35.22,12, , , , , 
2022-06-08 20:11:54,35.22,11, , , , , 
2022-06-08 20:13:54,34.96,9, , , , , 
2022-06-08 20:15:54,35.09,10, , , , , 
2022-06-08 20:17:54,34.88,10, , , , , 
2022-06-08 20:19:54,34.66,10, , , , , 
2022-06-08 20:21:54,34.62,9, , , , , 
2022-06-08 20:23:54,34.32,10, , , , , 
2022-06-08 20:25:54,34.19,9, , , , , 
2022-06-08 20:27:54,34.23,9, , , , , 
2022-06-08 20:29:54,33.85,10, , , , , 
2022-06-08 20:31:54,33.93,8, , , , , 
2022-06-08 20:33:54,33.76,9, , , , , 
2022-06-08 20:35:54,33.20,7, , , , , 
2022-06-08 20:37:54,33.42,8, , , , , 
2022-06-08 20:39:54,33.20,9, , , , , 
2022-06-08 20:41:54,32.86,9, , , , , 
2022-06-08 20:43:54,32.86,2, , , , , 
2022-06-08 20:45:54,32.43,10, , , , , 
2022-06-08 20:47:54,32.22,8, , , , , 
2022-06-08 20:49:54,32.47,9, , , , , 
2022-06-08 20:51:54,31.96,8, , , , , 
2022-06-08 20:53:54,31.83,5, , , , , 
2022-06-08 20:55:54,31.57,8, , , , , 
2022-06-08 20:57:54,31.70,7, , , , , 
2022-06-08 20:59:54,31.36,8, , , , , 
2022-06-08 21:01:54,31.10,8, , , , , 
2022-06-08 21:03:54,31.06,7, , , , , 
2022-06-08 21:05:54,31.23,9, , , , , 
2022-06-08 21:07:54,30.84,7, , , , , 
2022-06-08 21:09:54,31.19,9, , , , , 
2022-06-08 21:11:54,30.97,9, , , , , 
2022-06-08 21:13:54,30.80,8, , , , , 
2022-06-08 21:15:54,30.76,8, , , , , 
2022-06-08 21:17:54,30.63,9, , , , , 
2022-06-08 21:19:54,31.14,8, , , , , 
2022-06-08 21:21:54,30.89,9, , , , , 
2022-06-08 21:23:54,30.63,9, , , , , 
2022-06-08 21:25:54,31.23,7, , , , , 
2022-06-08 21:27:54,30.76,10, , , , , 
2022-06-08 21:29:54,30.59,8, , , , , 
2022-06-08 21:31:54,31.06,7, , , , , 
2022-06-08 21:33:54,30.63,8, , , , , 
2022-06-08 21:35:54,31.23,8, , , , , 
2022-06-08 21:37:54,30.84,7, , , , , 
2022-06-08 21:39:54,30.67,9, , , , , 
2022-06-08 21:41:54,31.27,7, , , , , 
2022-06-08 21:43:54,30.84,8, , , , , 
2022-06-08 21:45:54,30.63,8, , , , , 
2022-06-08 21:47:54,31.10,7, , , , , 
2022-06-08 21:49:54,30.67,8, , , , , 
2022-06-08 21:51:54,31.19,6, , , , , 
2022-06-08 21:53:54,30.80,8, , , , , 
2022-06-08 21:55:54,30.63,8, , , , , 
2022-06-08 21:57:54,31.14,8, , , , , 
2022-06-08 21:59:54,30.89,8, , , , , 
2022-06-08 22:01:54,30.63,8, , , , , 
2022-06-08 22:03:54,30.54,7, , , , , 
2022-06-08 22:05:54,30.67,8, , , , , 
2022-06-08 22:07:54,30.54,7, , , , , 
2022-06-08 22:09:54,30.46,9, , , , , 
2022-06-08 22:11:54,30.50,8, , , , , 
2022-06-08 22:13:54,30.50,9, , , , , 
2022-06-08 22:15:54,30.46,32, , , , , 
2022-06-08 22:17:54,28.05,32, , , , , 
2022-06-08 22:19:54,26.94,10, , , , , 
2022-06-08 22:21:54,26.12,10, , , , , 
2022-06-08 22:23:54,25.52,10, , , , , 
2022-06-08 22:25:54,25.31,10, , , , , 
2022-06-08 22:27:54,25.05,10, , , , , 
2022-06-08 22:29:54,24.84,10, , , , , 
2022-06-08 22:31:54,24.84,10, , , , , 
2022-06-08 22:33:54,24.66,10, , , , , 
2022-06-08 22:35:54,24.58,10, , , , , 
2022-06-08 22:37:54,24.41,10, , , , , 
2022-06-08 22:39:54,24.24,10, , , , , 
2022-06-08 22:41:54,24.24,10, , , , , 
2022-06-08 22:43:54,24.11,10, , , , , 
2022-06-08 22:45:54,24.06,10, , , , , 
2022-06-08 22:47:54,24.02,10, , , , , 
2022-06-08 22:49:54,23.98,10, , , , , 
2022-06-08 22:51:54,23.94,11, , , , , 
2022-06-08 22:53:54,23.94,10, , , , , 
2022-06-08 22:55:54,23.94,10, , , , , 
2022-06-08 22:57:54,23.89,10, , , , , 
2022-06-08 22:59:54,23.85,10, , , , , 
2022-06-08 23:01:54,23.76,10, , , , , 
2022-06-08 23:03:54,23.76,10, , , , , 
2022-06-08 23:05:54,23.72,10, , , , , 
2022-06-08 23:07:54,23.68,9, , , , , 
2022-06-08 23:09:54,23.72,10, , , , , 
2022-06-08 23:11:54,23.72,9, , , , , 
2022-06-08 23:12:08, , ,Logged,Logged, , , 
2022-06-08 23:12:12, , , , ,Logged, , 
2022-06-08 23:12:16, , , , , ,Logged,Logged
