24,B12,FALSE,CR2Apal_36C_146,A,UNKNOWN,SYBR,None,25.236240386962891,24.953292846679688,0.40014824271202087,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95410852992478223,5.8255429267883301,5.2352375984191895,87.972190856933594,,,,N,N,N,N,N
25,C1,FALSE,CR2Apal_36C_147,Apal,UNKNOWN,SYBR,None,20.567840576171875,20.557485580444336,0.01464417576789856,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95547015346144526,4.4014086723327637,3.7323348522186279,75.022552490234375,,,,N,N,N,N,N
26,C2,FALSE,CR2Apal_36C_147,A,UNKNOWN,SYBR,None,23.117847442626953,23.494077682495117,0.53206992149353027,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9649877585043084,5.7477450370788574,5.1720800399780273,87.694679260253906,,,,N,N,Y,N,N
27,C3,FALSE,CR2Apal_36C_147,Apal,UNKNOWN,SYBR,None,20.547130584716797,20.557485580444336,0.01464417576789856,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9428733195304343,4.3182158470153809,3.6757769584655762,75.150115966796875,,,,N,N,N,N,N
28,C4,FALSE,CR2Apal_36C_147,A,UNKNOWN,SYBR,None,23.870307922363281,23.494077682495117,0.53206992149353027,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94902744442068609,5.8809957504272461,5.3343172073364258,87.815582275390625,,,,N,N,Y,N,N
29,C5,FALSE,CR2Apal_36C_148,Apal,UNKNOWN,SYBR,None,19.795867919921875,19.60468864440918,0.27036833763122559,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9533688777730599,4.3130240440368652,3.7934308052062988,75.003303527832031,,,,N,N,N,N,N
30,C6,FALSE,CR2Apal_36C_148,A,UNKNOWN,SYBR,None,23.211385726928711,23.313613891601562,0.14457380771636963,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94049101324416484,6.0847210884094238,5.443657398223877,87.664260864257812,,,,N,N,N,N,N
31,C7,FALSE,CR2Apal_36C_148,Apal,UNKNOWN,SYBR,None,19.413509368896484,19.60468864440918,0.27036833763122559,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95469177003932648,4.5028800964355469,3.8715212345123291,75.009765625,,,,N,N,N,N,N
32,C8,FALSE,CR2Apal_36C_148,A,UNKNOWN,SYBR,None,23.415843963623047,23.313613891601562,0.14457380771636963,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9275243102133941,6.0653467178344727,5.4633145332336426,87.676345825195312,,,,N,N,N,N,N
33,C9,FALSE,CR2Apal_36C_149,Apal,UNKNOWN,SYBR,None,19.879108428955078,20.048389434814453,0.23940084874629974,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94483272776373228,4.5482125282287598,3.9740991592407227,75.16802978515625,,,,N,N,N,N,N
34,C10,FALSE,CR2Apal_36C_149,A,UNKNOWN,SYBR,None,25.086658477783203,24.947481155395508,0.19682645797729492,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95334225947475326,5.8801956176757812,5.4186644554138184,87.98822021484375,,,,N,N,N,N,N
35,C11,FALSE,CR2Apal_36C_149,Apal,UNKNOWN,SYBR,None,20.217672348022461,20.048389434814453,0.23940084874629974,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95761062143478615,4.308220386505127,3.7038640975952148,75.021736145019531,,,,N,N,N,N,N
36,C12,FALSE,CR2Apal_36C_149,A,UNKNOWN,SYBR,None,24.808303833007812,24.947481155395508,0.19682645797729492,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95721931921264269,5.9399886131286621,5.3772368431091309,87.832939147949219,,,,N,N,N,N,N
37,D1,FALSE,CR2Apal_36C_150,Apal,UNKNOWN,SYBR,None,18.117937088012695,18.977090835571289,1.21502685546875,,,,,,,,FALSE,0.10000000000000001,TRUE,3,12,Amp,,0.91853650035415513,4.2823710441589355,3.8368372917175293,74.88330078125,,,,N,N,Y,N,N
38,D2,FALSE,CR2Apal_36C_150,A,UNKNOWN,SYBR,None,23.848119735717773,24.121273040771484,0.38629710674285889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95817143219472012,5.7081966400146484,5.0179400444030762,87.555427551269531,,,,N,N,N,N,N
39,D3,FALSE,CR2Apal_36C_150,Apal,UNKNOWN,SYBR,None,19.836244583129883,18.977090835571289,1.21502685546875,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95756794684603352,4.3409867286682129,3.7506294250488281,75.150115966796875,,,,N,N,Y,N,N
40,D4,FALSE,CR2Apal_36C_150,A,UNKNOWN,SYBR,None,24.394426345825195,24.121273040771484,0.38629710674285889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93006819605761482,5.6163558959960938,4.9675207138061523,87.815582275390625,,,,N,N,N,N,N
41,D5,FALSE,CR2Apal_36C_151,Apal,UNKNOWN,SYBR,None,20.470798492431641,20.486347198486328,0.021989190950989723,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9444038822721158,4.5122756958007812,3.9509973526000977,75.003303527832031,,,,N,N,N,N,N
42,D6,FALSE,CR2Apal_36C_151,A,UNKNOWN,SYBR,None,24.836462020874023,24.824916839599609,0.016326002776622772,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.93956126740360157,5.9773640632629395,5.3928532600402832,87.664260864257812,,,,N,N,N,N,N
43,D7,FALSE,CR2Apal_36C_151,Apal,UNKNOWN,SYBR,None,20.501895904541016,20.486347198486328,0.021989190950989723,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.97459482219450777,4.5609469413757324,3.9877407550811768,75.009765625,,,,N,N,N,N,N
44,D8,FALSE,CR2Apal_36C_151,A,UNKNOWN,SYBR,None,24.813373565673828,24.824916839599609,0.016326002776622772,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.93812000351308655,6.0083537101745605,5.4447660446166992,87.676345825195312,,,,N,N,N,N,N
45,D9,FALSE,CR2Apal_36C_152,Apal,UNKNOWN,SYBR,None,23.463855743408203,23.902631759643555,0.62052297592163086,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94715493440752152,4.4830374717712402,4.108583927154541,75.16802978515625,,,,N,N,Y,N,N
46,D10,FALSE,CR2Apal_36C_152,A,UNKNOWN,SYBR,None,28.518049240112305,27.607959747314453,1.2870608568191528,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96138038262856385,5.3574318885803223,4.9318599700927734,87.848861694335938,,,,N,N,Y,N,N
47,D11,FALSE,CR2Apal_36C_152,Apal,UNKNOWN,SYBR,None,24.341407775878906,23.902631759643555,0.62052297592163086,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94984301066568833,4.2975592613220215,3.8774182796478271,75.160987854003906,,,,N,N,Y,N,N
48,D12,FALSE,CR2Apal_36C_152,A,UNKNOWN,SYBR,None,26.697870254516602,27.607959747314453,1.2870608568191528,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94809720853689494,5.035947322845459,4.5196647644042969,87.832939147949219,,,,N,N,Y,N,N
49,E1,FALSE,CR2Apal_36C_153,Apal,UNKNOWN,SYBR,None,22.527294158935547,22.488958358764648,0.05421501025557518,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95737361695513989,4.3309006690979004,3.8932881355285645,74.88330078125,,,,N,N,N,N,N
50,E2,FALSE,CR2Apal_36C_153,A,UNKNOWN,SYBR,None,28.073053359985352,28.153955459594727,0.11441284418106079,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96504683787767054,5.2449350357055664,4.754824161529541,87.555427551269531,,,,N,N,N,N,N
51,E3,FALSE,CR2Apal_36C_153,Apal,UNKNOWN,SYBR,None,22.45062255859375,22.488958358764648,0.05421501025557518,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94886143373535847,4.3918743133544922,3.961580753326416,75.010940551757812,,,,N,N,N,N,N
52,E4,FALSE,CR2Apal_36C_153,A,UNKNOWN,SYBR,None,28.234857559204102,28.153955459594727,0.11441284418106079,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95736716051735582,5.2318487167358398,4.7583293914794922,87.815582275390625,,,,N,N,N,N,N
53,E5,FALSE,CR2Apal_36C_154,Apal,UNKNOWN,SYBR,None,23.809013366699219,23.785037994384766,0.03390764445066452,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95164995069633851,4.5390081405639648,4.1043386459350586,75.003303527832031,,,,N,N,N,N,N
54,E6,FALSE,CR2Apal_36C_154,A,UNKNOWN,SYBR,None,27.712352752685547,27.713064193725586,0.0010061295470222831,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95849545760584631,5.2836346626281738,4.6811614036560059,87.664260864257812,,,,N,N,N,N,N
55,E7,FALSE,CR2Apal_36C_154,Apal,UNKNOWN,SYBR,None,23.76106071472168,23.785037994384766,0.03390764445066452,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94961531907862617,4.6318507194519043,4.1850614547729492,75.009765625,,,,N,N,N,N,N
56,E8,FALSE,CR2Apal_36C_154,A,UNKNOWN,SYBR,None,27.713775634765625,27.713064193725586,0.0010061295470222831,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.94727913165962796,5.5549969673156738,5.145723819732666,87.676345825195312,,,,N,N,N,N,N
57,E9,FALSE,CR2Apal_36C_155,Apal,UNKNOWN,SYBR,None,20.512672424316406,20.364418029785156,0.2096647173166275,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93817891614331128,4.5865778923034668,4.0532264709472656,75.16802978515625,,,,N,N,N,N,N
58,E10,FALSE,CR2Apal_36C_155,A,UNKNOWN,SYBR,None,25.605947494506836,25.649053573608398,0.060961201786994934,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95792146959299529,5.8068275451660156,5.2641539573669434,87.848861694335938,,,,N,N,N,N,N
59,E11,FALSE,CR2Apal_36C_155,Apal,UNKNOWN,SYBR,None,20.216161727905273,20.364418029785156,0.2096647173166275,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92696786147371191,4.3792786598205566,3.8410041332244873,75.021736145019531,,,,N,N,N,N,N
60,E12,FALSE,CR2Apal_36C_155,A,UNKNOWN,SYBR,None,25.692159652709961,25.649053573608398,0.060961201786994934,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95500298527112115,5.8248276710510254,5.2478485107421875,87.693687438964844,,,,N,N,N,N,N
61,F1,FALSE,CR2Apal_36C_156,Apal,UNKNOWN,SYBR,None,21.36651611328125,21.449104309082031,0.11679734289646149,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94873760664380213,4.3459515571594238,3.8721022605895996,74.744041442871094,,,,N,N,N,N,N
62,F2,FALSE,CR2Apal_36C_156,A,UNKNOWN,SYBR,None,26.928632736206055,26.61445426940918,0.44431546330451965,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96840584058416646,5.5076360702514648,5.0564417839050293,87.416175842285156,,,,N,N,N,N,N
63,F3,FALSE,CR2Apal_36C_156,Apal,UNKNOWN,SYBR,None,21.531692504882812,21.449104309082031,0.11679734289646149,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93887225109650085,4.3821392059326172,3.9061675071716309,75.010940551757812,,,,N,N,N,N,N
64,F4,FALSE,CR2Apal_36C_156,A,UNKNOWN,SYBR,None,26.300275802612305,26.61445426940918,0.44431546330451965,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94999402968705615,5.6213412284851074,5.0494155883789062,87.676399230957031,,,,N,N,N,N,N
65,F5,FALSE,CR2Apal_36C_157,Apal,UNKNOWN,SYBR,None,21.428659439086914,21.427867889404297,0.001120768953114748,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93951509114110709,4.4961643218994141,3.9959824085235596,75.003303527832031,,,,N,N,N,N,N
66,F6,FALSE,CR2Apal_36C_157,A,UNKNOWN,SYBR,None,27.320873260498047,27.563503265380859,0.34313064813613892,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95892168594157812,5.6514320373535156,5.1061182022094727,87.664260864257812,,,,N,N,N,N,N
67,F7,FALSE,CR2Apal_36C_157,Apal,UNKNOWN,SYBR,None,21.427074432373047,21.427867889404297,0.001120768953114748,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93336104757086269,4.5289559364318848,4.0453948974609375,75.009765625,,,,N,N,N,N,N
68,F8,FALSE,CR2Apal_36C_157,A,UNKNOWN,SYBR,None,27.806133270263672,27.563503265380859,0.34313064813613892,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95852528803453851,5.4890022277832031,5.0380821228027344,87.676345825195312,,,,N,N,N,N,N
69,F9,FALSE,CR2Apal_36C_158,Apal,UNKNOWN,SYBR,None,23.962043762207031,24.020233154296875,0.082290880382061005,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94099611257177829,4.4916272163391113,4.0046229362487793,75.0286865234375,,,,N,N,N,N,N
70,F10,FALSE,CR2Apal_36C_158,A,UNKNOWN,SYBR,None,28.609586715698242,29.497005462646484,1.2549996376037598,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96040944948298479,5.3470072746276855,4.9375076293945312,87.848861694335938,,,,N,N,Y,N,N
71,F11,FALSE,CR2Apal_36C_158,Apal,UNKNOWN,SYBR,None,24.078420639038086,24.020233154296875,0.082290880382061005,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93755699772469958,4.1173853874206543,4.356480598449707,75.021736145019531,,,,N,N,N,N,N
72,F12,FALSE,CR2Apal_36C_158,A,UNKNOWN,SYBR,None,30.384424209594727,29.497005462646484,1.2549996376037598,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94718031526463176,4.9295015335083008,3.9781510829925537,87.832939147949219,,,,N,N,Y,N,N
73,G1,FALSE,CR2Apal_36C_159,Apal,UNKNOWN,SYBR,None,21.036453247070312,21.420673370361328,0.54336929321289062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94813189173924672,4.245323657989502,3.8345985412597656,74.744041442871094,,,,N,N,Y,N,N
74,G2,FALSE,CR2Apal_36C_159,A,UNKNOWN,SYBR,None,24.859872817993164,24.737846374511719,0.17257280647754669,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96417292147610012,5.7896761894226074,5.3497886657714844,87.416175842285156,,,,N,N,N,N,N
75,G3,FALSE,CR2Apal_36C_159,Apal,UNKNOWN,SYBR,None,21.804893493652344,21.420673370361328,0.54336929321289062,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9482351830279161,4.2979450225830078,3.8640999794006348,75.010940551757812,,,,N,N,Y,N,N
76,G4,FALSE,CR2Apal_36C_159,A,UNKNOWN,SYBR,None,24.615818023681641,24.737846374511719,0.17257280647754669,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96063074992064201,5.8578996658325195,5.4121999740600586,87.676399230957031,,,,N,N,N,N,N
77,G5,FALSE,CR2Apal_36C_160,Apal,UNKNOWN,SYBR,None,19.286720275878906,19.277187347412109,0.013480247929692268,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.96761274304377387,4.3612837791442871,3.7787477970123291,75.003303527832031,,,,N,N,N,N,N
