24,B12,FALSE,CR2Apal_36C_26,A,UNKNOWN,SYBR,None,23.922626495361328,23.836921691894531,0.12120489776134491,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95261477341535372,5.0016798973083496,4.505368709564209,87.91668701171875,,,,N,N,N,N,N
25,C1,FALSE,CR2Apal_36C_27,Apal,UNKNOWN,SYBR,None,22.710842132568359,22.730735778808594,0.028135212138295174,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96459132770317724,4.5502066612243652,3.9571106433868408,74.999496459960938,,,,N,N,N,N,N
26,C2,FALSE,CR2Apal_36C_27,A,UNKNOWN,SYBR,None,26.618717193603516,26.528854370117188,0.12708386778831482,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96492704438115251,4.744257926940918,4.3319487571716309,87.628837585449219,,,,N,N,N,N,N
27,C3,FALSE,CR2Apal_36C_27,Apal,UNKNOWN,SYBR,None,22.750631332397461,22.730735778808594,0.028135212138295174,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92885652644203431,4.5310368537902832,3.944974422454834,75.12542724609375,,,,N,N,N,N,N
28,C4,FALSE,CR2Apal_36C_27,A,UNKNOWN,SYBR,None,26.438993453979492,26.528854370117188,0.12708386778831482,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.94892346066439637,4.7864322662353516,4.3589844703674316,87.886520385742188,,,,N,N,N,N,N
29,C5,FALSE,CR2Apal_36C_28,Apal,UNKNOWN,SYBR,None,20.397344589233398,20.084466934204102,0.442475825548172,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.91485001070842553,4.5899744033813477,4.0414628982543945,75.120010375976562,,,,N,N,N,N,N
30,C6,FALSE,CR2Apal_36C_28,A,UNKNOWN,SYBR,None,24.532192230224609,24.428474426269531,0.14668047428131104,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93808125665415742,5.1593875885009766,4.6563878059387207,87.597488403320312,,,,N,N,N,N,N
31,C7,FALSE,CR2Apal_36C_28,Apal,UNKNOWN,SYBR,None,19.771589279174805,20.084466934204102,0.442475825548172,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92775630339263937,4.5461454391479492,3.8780183792114258,74.987579345703125,,,,N,N,N,N,N
32,C8,FALSE,CR2Apal_36C_28,A,UNKNOWN,SYBR,None,24.32475471496582,24.428474426269531,0.14668047428131104,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93861837647278912,5.1685266494750977,4.6960172653198242,87.751876831054688,,,,N,N,N,N,N
33,C9,FALSE,CR2Apal_36C_29,Apal,UNKNOWN,SYBR,None,21.576242446899414,21.676338195800781,0.14155811071395874,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92781845369116445,4.5273857116699219,4.008976936340332,75.288803100585938,,,,N,N,N,N,N
34,C10,FALSE,CR2Apal_36C_29,A,UNKNOWN,SYBR,None,25.352792739868164,25.349403381347656,0.0047932770103216171,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95650309369206055,5.0066652297973633,4.6900124549865723,87.928855895996094,,,,N,N,N,N,N
35,C11,FALSE,CR2Apal_36C_29,Apal,UNKNOWN,SYBR,None,21.776435852050781,21.676338195800781,0.14155811071395874,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94573299779127651,4.3677558898925781,3.9205870628356934,75.143905639648438,,,,N,N,N,N,N
36,C12,FALSE,CR2Apal_36C_29,A,UNKNOWN,SYBR,None,25.346014022827148,25.349403381347656,0.0047932770103216171,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96798036254374475,4.8555011749267578,4.4654397964477539,87.776321411132812,,,,N,N,N,N,N
37,D1,FALSE,CR2Apal_36C_30,Apal,UNKNOWN,SYBR,None,25.923074722290039,25.903270721435547,0.028007086366415024,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96534096338398467,4.1824617385864258,3.7753922939300537,74.859161376953125,,,,N,N,N,N,N
38,D2,FALSE,CR2Apal_36C_30,A,UNKNOWN,SYBR,None,28.522294998168945,28.641166687011719,0.16810861229896545,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96259212729494281,4.4983000755310059,4.0618677139282227,87.488510131835938,,,,N,N,N,N,N
39,D3,FALSE,CR2Apal_36C_30,Apal,UNKNOWN,SYBR,None,25.883466720581055,25.903270721435547,0.028007086366415024,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94184687532415823,4.2325568199157715,3.8104486465454102,75.12542724609375,,,,N,N,N,N,N
40,D4,FALSE,CR2Apal_36C_30,A,UNKNOWN,SYBR,None,28.760036468505859,28.641166687011719,0.16810861229896545,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.94992176058575273,4.6204929351806641,4.1893496513366699,87.746284484863281,,,,N,N,N,N,N
41,D5,FALSE,CR2Apal_36C_31,Apal,UNKNOWN,SYBR,None,21.017368316650391,21.0966796875,0.11216186732053757,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92760269984673571,4.5295929908752441,4.0212817192077637,74.979812622070312,,,,N,N,N,N,N
42,D6,FALSE,CR2Apal_36C_31,A,UNKNOWN,SYBR,None,10.573677062988281,18.894283294677734,11.767114639282227,,,,,,,,FALSE,0.10000000000000001,TRUE,3,7,No Amp,,0.9107052403646827,1.8220154047012329,0.69847160577774048,85.494544982910156,66.287643432617188,64.04449462890625,92.223968505859375,N,N,Y,Y,N
43,D7,FALSE,CR2Apal_36C_31,Apal,UNKNOWN,SYBR,None,21.175989151000977,21.0966796875,0.11216186732053757,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9281420593232208,4.5797457695007324,4.0670046806335449,75.127845764160156,,,,N,N,N,N,N
44,D8,FALSE,CR2Apal_36C_31,A,UNKNOWN,SYBR,None,27.214889526367188,18.894283294677734,11.767114639282227,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.93473967543037861,4.916994571685791,4.4452905654907227,87.611618041992188,,,,N,N,Y,N,N
45,D9,FALSE,CR2Apal_36C_32,Apal,UNKNOWN,SYBR,None,21.644287109375,21.621379852294922,0.032394405454397202,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92855642018920193,4.5928525924682617,4.1404690742492676,75.288803100585938,,,,N,N,N,N,N
46,D10,FALSE,CR2Apal_36C_32,A,UNKNOWN,SYBR,None,27.119821548461914,26.840156555175781,0.39550468325614929,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95549096350151808,4.8680419921875,4.4545965194702148,87.788406372070312,,,,N,N,N,N,N
47,D11,FALSE,CR2Apal_36C_32,Apal,UNKNOWN,SYBR,None,21.598474502563477,21.621379852294922,0.032394405454397202,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94636154965057695,4.5062823295593262,4.0546231269836426,75.143905639648438,,,,N,N,N,N,N
48,D12,FALSE,CR2Apal_36C_32,A,UNKNOWN,SYBR,None,26.560493469238281,26.840156555175781,0.39550468325614929,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96759146874250224,4.9175362586975098,4.4435882568359375,87.776321411132812,,,,N,N,N,N,N
49,E1,FALSE,CR2Apal_36C_33,Apal,UNKNOWN,SYBR,None,20.828813552856445,20.763702392578125,0.092079736292362213,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.95004219581048277,4.6078481674194336,4.1271548271179199,74.859161376953125,,,,N,N,N,N,N
50,E2,FALSE,CR2Apal_36C_33,A,UNKNOWN,SYBR,None,23.203989028930664,23.191255569458008,0.018007831647992134,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95517231849766926,5.168703556060791,4.654242992401123,87.348190307617188,,,,N,N,N,N,N
51,E3,FALSE,CR2Apal_36C_33,Apal,UNKNOWN,SYBR,None,20.698593139648438,20.763702392578125,0.092079736292362213,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93595334524698715,4.6264395713806152,4.1110987663269043,75.12542724609375,,,,N,N,N,N,N
52,E4,FALSE,CR2Apal_36C_33,A,UNKNOWN,SYBR,None,23.178522109985352,23.191255569458008,0.018007831647992134,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93828753739785142,5.0894985198974609,4.5409464836120605,87.746284484863281,,,,N,N,N,N,N
53,E5,FALSE,CR2Apal_36C_34,Apal,UNKNOWN,SYBR,None,20.205144882202148,20.134349822998047,0.10012067854404449,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91986135598670526,4.8053803443908691,4.2132658958435059,74.979812622070312,,,,N,N,N,N,N
54,E6,FALSE,CR2Apal_36C_34,A,UNKNOWN,SYBR,None,22.895544052124023,22.702899932861328,0.27244126796722412,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.92832633395501785,5.3023438453674316,4.6918187141418457,87.597488403320312,,,,N,N,N,N,N
55,E7,FALSE,CR2Apal_36C_34,Apal,UNKNOWN,SYBR,None,20.063552856445312,20.134349822998047,0.10012067854404449,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9195201743653415,4.7882566452026367,4.1875228881835938,75.127845764160156,,,,N,N,N,N,N
56,E8,FALSE,CR2Apal_36C_34,A,UNKNOWN,SYBR,None,22.51025390625,22.702899932861328,0.27244126796722412,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92856052220844554,5.3593049049377441,4.8497829437255859,87.611618041992188,,,,N,N,N,N,N
57,E9,FALSE,CR2Apal_36C_35,Apal,UNKNOWN,SYBR,None,22.303554534912109,22.387111663818359,0.11816897243261337,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93645641591255591,4.5808024406433105,4.0996451377868652,75.148361206054688,,,,N,N,N,N,N
58,E10,FALSE,CR2Apal_36C_35,A,UNKNOWN,SYBR,None,25.774343490600586,26.087297439575195,0.44258370995521545,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.97222417280066509,4.8812971115112305,4.4913225173950195,87.788406372070312,,,,N,N,N,N,N
59,E11,FALSE,CR2Apal_36C_35,Apal,UNKNOWN,SYBR,None,22.470670700073242,22.387111663818359,0.11816897243261337,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.92467151018874805,4.4381437301635742,3.8954229354858398,75.143905639648438,,,,N,N,N,N,N
60,E12,FALSE,CR2Apal_36C_35,A,UNKNOWN,SYBR,None,26.400251388549805,26.087297439575195,0.44258370995521545,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96165016893338096,4.9277358055114746,4.4578032493591309,87.776321411132812,,,,N,N,N,N,N
61,F1,FALSE,CR2Apal_36C_36,Apal,UNKNOWN,SYBR,None,22.393703460693359,22.441982269287109,0.068276546895503998,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95861646677303869,4.5308809280395508,4.102757453918457,74.859161376953125,,,,N,N,N,N,N
62,F2,FALSE,CR2Apal_36C_36,A,UNKNOWN,SYBR,None,26.586189270019531,26.601821899414062,0.022106528282165527,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96747003875485627,4.7133607864379883,4.3088216781616211,87.348190307617188,,,,N,N,N,N,N
63,F3,FALSE,CR2Apal_36C_36,Apal,UNKNOWN,SYBR,None,22.490261077880859,22.441982269287109,0.068276546895503998,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94904781037130637,4.5530662536621094,4.1155996322631836,75.12542724609375,,,,N,N,N,N,N
64,F4,FALSE,CR2Apal_36C_36,A,UNKNOWN,SYBR,None,26.617452621459961,26.601821899414062,0.022106528282165527,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96359850521782497,4.8912062644958496,4.5109701156616211,87.746284484863281,,,,N,N,N,N,N
65,F5,FALSE,CR2Apal_36C_37,Apal,UNKNOWN,SYBR,None,20.385271072387695,20.370464324951172,0.020941251888871193,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92454284750218996,4.6549167633056641,4.027289867401123,74.979812622070312,,,,N,N,N,N,N
66,F6,FALSE,CR2Apal_36C_37,A,UNKNOWN,SYBR,None,25.632331848144531,25.625955581665039,0.0090174023061990738,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94293462569904363,5.181147575378418,4.6170344352722168,87.597488403320312,,,,N,N,N,N,N
67,F7,FALSE,CR2Apal_36C_37,Apal,UNKNOWN,SYBR,None,20.355655670166016,20.370464324951172,0.020941251888871193,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92366378825844242,4.5994515419006348,4.0145354270935059,75.127845764160156,,,,N,N,N,N,N
68,F8,FALSE,CR2Apal_36C_37,A,UNKNOWN,SYBR,None,25.619579315185547,25.625955581665039,0.0090174023061990738,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94407090493312473,5.1442341804504395,4.6621036529541016,87.611618041992188,,,,N,N,N,N,N
69,F9,FALSE,CR2Apal_36C_38,Apal,UNKNOWN,SYBR,None,21.136423110961914,21.237676620483398,0.14319407939910889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9331192755466049,4.5642609596252441,4.0329837799072266,75.148361206054688,,,,N,N,N,N,N
70,F10,FALSE,CR2Apal_36C_38,A,UNKNOWN,SYBR,None,26.459390640258789,26.8653564453125,0.57412099838256836,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95743083840924514,4.7179012298583984,4.3236217498779297,87.788406372070312,,,,N,N,Y,N,N
71,F11,FALSE,CR2Apal_36C_38,Apal,UNKNOWN,SYBR,None,21.338930130004883,21.237676620483398,0.14319407939910889,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9426942752918448,4.2615509033203125,4.469944953918457,75.143905639648438,,,,N,N,N,N,N
72,F12,FALSE,CR2Apal_36C_38,A,UNKNOWN,SYBR,None,27.271320343017578,26.8653564453125,0.57412099838256836,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95182718754062834,4.8131513595581055,3.8834121227264404,87.776321411132812,,,,N,N,Y,N,N
73,G1,FALSE,CR2Apal_36C_39,Apal,UNKNOWN,SYBR,None,23.170295715332031,23.164703369140625,0.0079101203009486198,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95733518193272205,4.4458575248718262,4.0607595443725586,74.859161376953125,,,,N,N,N,N,N
74,G2,FALSE,CR2Apal_36C_39,A,UNKNOWN,SYBR,None,29.488475799560547,31.984766006469727,3.530287504196167,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.96489776733375154,4.1927781105041504,3.8515059947967529,87.488510131835938,,,,N,N,Y,N,N
75,G3,FALSE,CR2Apal_36C_39,Apal,UNKNOWN,SYBR,None,23.159109115600586,23.164703369140625,0.0079101203009486198,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94889921489865048,4.4604525566101074,4.0348215103149414,74.985198974609375,,,,N,N,N,N,N
76,G4,FALSE,CR2Apal_36C_39,A,UNKNOWN,SYBR,None,34.481056213378906,31.984766006469727,3.530287504196167,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.92383257948060216,2.1303138732910156,1.8107984066009521,84.520950317382812,,,,N,N,Y,N,N
77,G5,FALSE,CR2Apal_36C_40,Apal,UNKNOWN,SYBR,None,19.653926849365234,19.719326019287109,0.092487044632434845,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.92236614815430951,4.5004825592041016,3.8742783069610596,74.979812622070312,,,,N,N,N,N,N
