24,B12,FALSE,CR2Apal_36C_70,A,UNKNOWN,SYBR,None,31.536579132080078,30.986408233642578,0.77805781364440918,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.95924975762227493,3.6415975093841553,3.2467565536499023,87.889495849609375,,,,N,N,Y,N,N
25,C1,FALSE,CR2Apal_36C_71,Apal,UNKNOWN,SYBR,None,22.385581970214844,22.537569046020508,0.21494218707084656,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.96445892629816421,4.2175707817077637,3.6709551811218262,74.98779296875,,,,N,N,N,N,N
26,C2,FALSE,CR2Apal_36C_71,A,UNKNOWN,SYBR,None,24.229928970336914,26.858964920043945,3.7180182933807373,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93167379099106795,4.5731387138366699,4.1079654693603516,87.607376098632812,,,,N,N,Y,N,N
27,C3,FALSE,CR2Apal_36C_71,Apal,UNKNOWN,SYBR,None,22.689556121826172,22.537569046020508,0.21494218707084656,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93218704256634677,4.2382969856262207,3.7013866901397705,75.110763549804688,,,,N,N,N,N,N
28,C4,FALSE,CR2Apal_36C_71,A,UNKNOWN,SYBR,None,29.488000869750977,26.858964920043945,3.7180182933807373,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95984032367199923,4.370119571685791,3.9888443946838379,87.999855041503906,,,,N,N,Y,N,N
29,C5,FALSE,CR2Apal_36C_72,Apal,UNKNOWN,SYBR,None,19.394500732421875,19.467521667480469,0.10326584428548813,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93650886699725133,4.3694171905517578,3.7178544998168945,74.971450805664062,,,,N,N,N,N,N
30,C6,FALSE,CR2Apal_36C_72,A,UNKNOWN,SYBR,None,24.97831916809082,24.890832901000977,0.12372426688671112,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94030379863297997,5.1460318565368652,4.5246405601501465,87.722122192382812,,,,N,N,N,N,N
31,C7,FALSE,CR2Apal_36C_72,Apal,UNKNOWN,SYBR,None,19.54054069519043,19.467521667480469,0.10326584428548813,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95157102677180583,4.3972225189208984,3.6826102733612061,74.981765747070312,,,,N,N,N,N,N
32,C8,FALSE,CR2Apal_36C_72,A,UNKNOWN,SYBR,None,24.803346633911133,24.890832901000977,0.12372426688671112,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.93275589868615894,5.0840983390808105,4.5404133796691895,87.741714477539062,,,,N,N,N,N,N
33,C9,FALSE,CR2Apal_36C_73,Apal,UNKNOWN,SYBR,None,20.290779113769531,20.244955062866211,0.064804993569850922,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.93103620042081614,4.3909873962402344,3.8088183403015137,75.276580810546875,,,,N,N,N,N,N
34,C10,FALSE,CR2Apal_36C_73,A,UNKNOWN,SYBR,None,25.436155319213867,25.938934326171875,0.71103686094284058,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95172938938515439,5.0327506065368652,4.6366839408874512,87.906036376953125,,,,N,N,Y,N,N
35,C11,FALSE,CR2Apal_36C_73,Apal,UNKNOWN,SYBR,None,20.199131011962891,20.244955062866211,0.064804993569850922,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9401449802548979,4.2955012321472168,3.7636651992797852,75.128738403320312,,,,N,N,N,N,N
36,C12,FALSE,CR2Apal_36C_73,A,UNKNOWN,SYBR,None,26.441713333129883,25.938934326171875,0.71103686094284058,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95688974303375096,4.8192052841186523,4.3659157752990723,87.889495849609375,,,,N,N,Y,N,N
37,D1,FALSE,CR2Apal_36C_74,Apal,UNKNOWN,SYBR,None,19.882053375244141,19.855941772460938,0.036928731948137283,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.96447538380595654,4.2716078758239746,3.6437253952026367,74.847572326660156,,,,N,N,N,N,N
38,D2,FALSE,CR2Apal_36C_74,A,UNKNOWN,SYBR,None,25.948766708374023,26.022327423095703,0.10402920842170715,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9429774898430997,4.7743239402770996,4.1882038116455078,87.4671630859375,,,,N,N,N,N,N
39,D3,FALSE,CR2Apal_36C_74,Apal,UNKNOWN,SYBR,None,19.829828262329102,19.855941772460938,0.036928731948137283,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94406880769353929,4.350255012512207,3.770097017288208,75.110763549804688,,,,N,N,N,N,N
40,D4,FALSE,CR2Apal_36C_74,A,UNKNOWN,SYBR,None,26.09588623046875,26.022327423095703,0.10402920842170715,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94818921139559897,5.0568714141845703,4.5080022811889648,87.719657897949219,,,,N,N,N,N,N
41,D5,FALSE,CR2Apal_36C_75,Apal,UNKNOWN,SYBR,None,29.788627624511719,29.950206756591797,0.22850605845451355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.94239537328262013,3.9036917686462402,3.4862961769104004,74.971450805664062,,,,N,N,N,N,N
42,D6,FALSE,CR2Apal_36C_75,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.34960353374481201,-0.0075899455696344376,74.270858764648438,80.436019897460938,88.2825927734375,78.194145202636719,Y,Y,N,Y,N
43,D7,FALSE,CR2Apal_36C_75,Apal,UNKNOWN,SYBR,None,30.111783981323242,29.950206756591797,0.22850605845451355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.94169987127834898,3.8746256828308105,3.4728739261627197,74.981765747070312,,,,N,N,N,N,N
44,D8,FALSE,CR2Apal_36C_75,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.32103109359741211,-0.013295721262693405,90.966758728027344,87.321060180664062,81.712287902832031,94.191802978515625,Y,Y,N,Y,N
45,D9,FALSE,CR2Apal_36C_76,Apal,UNKNOWN,SYBR,None,19.558872222900391,19.6324462890625,0.10405079275369644,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91947702896715122,4.3813867568969727,3.7897541522979736,75.136245727539062,,,,N,N,N,N,N
46,D10,FALSE,CR2Apal_36C_76,A,UNKNOWN,SYBR,None,24.323802947998047,24.511081695556641,0.26485350728034973,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94807905411921223,4.9564557075500488,4.4208283424377441,87.765708923339844,,,,N,N,N,N,N
47,D11,FALSE,CR2Apal_36C_76,Apal,UNKNOWN,SYBR,None,19.706022262573242,19.6324462890625,0.10405079275369644,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94353261463290261,4.2530145645141602,3.6703979969024658,75.128738403320312,,,,N,N,N,N,N
48,D12,FALSE,CR2Apal_36C_76,A,UNKNOWN,SYBR,None,24.698362350463867,24.511081695556641,0.26485350728034973,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95814556885347268,5.0636563301086426,4.5194544792175293,87.749267578125,,,,N,N,N,N,N
49,E1,FALSE,CR2Apal_36C_77,Apal,UNKNOWN,SYBR,None,24.683624267578125,24.578083038330078,0.14925917983055115,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.96265508308922165,4.1599955558776855,3.7275402545928955,74.847572326660156,,,,N,N,N,N,N
50,E2,FALSE,CR2Apal_36C_77,A,UNKNOWN,SYBR,None,30.820907592773438,30.876873016357422,0.079148411750793457,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.96063914957922358,3.7763216495513916,3.3626742362976074,87.607376098632812,,,,N,N,N,N,N
51,E3,FALSE,CR2Apal_36C_77,Apal,UNKNOWN,SYBR,None,24.472539901733398,24.578083038330078,0.14925917983055115,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94387777693209396,4.2110538482666016,3.7619850635528564,75.110763549804688,,,,N,N,N,N,N
52,E4,FALSE,CR2Apal_36C_77,A,UNKNOWN,SYBR,None,30.932840347290039,30.876873016357422,0.079148411750793457,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.94787137146673428,3.8297321796417236,3.4136896133422852,87.999855041503906,,,,N,N,N,N,N
53,E5,FALSE,CR2Apal_36C_78,Apal,UNKNOWN,SYBR,None,20.275903701782227,20.553627014160156,0.39275872707366943,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9423506704469502,4.4180612564086914,3.7419264316558838,74.971450805664062,,,,N,N,N,N,N
54,E6,FALSE,CR2Apal_36C_78,A,UNKNOWN,SYBR,None,27.447820663452148,27.91278076171875,0.65755289793014526,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.94331353296848064,4.7081475257873535,4.0207548141479492,87.582000732421875,,,,N,N,Y,N,N
55,E7,FALSE,CR2Apal_36C_78,Apal,UNKNOWN,SYBR,None,20.831348419189453,20.553627014160156,0.39275872707366943,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93888889216817517,4.4505186080932617,3.8328006267547607,75.121978759765625,,,,N,N,N,N,N
56,E8,FALSE,CR2Apal_36C_78,A,UNKNOWN,SYBR,None,28.377740859985352,27.91278076171875,0.65755289793014526,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.94762044888578389,4.5288119316101074,4.0734410285949707,87.741714477539062,,,,N,N,Y,N,N
57,E9,FALSE,CR2Apal_36C_79,Apal,UNKNOWN,SYBR,None,20.449445724487305,20.436492919921875,0.01831803098320961,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94137602560011235,4.3722047805786133,3.7992899417877197,75.136245727539062,,,,N,N,N,N,N
58,E10,FALSE,CR2Apal_36C_79,A,UNKNOWN,SYBR,None,25.449689865112305,25.675111770629883,0.31879472732543945,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95249968429748288,4.8590683937072754,4.3507933616638184,87.765708923339844,,,,N,N,N,N,N
59,E11,FALSE,CR2Apal_36C_79,Apal,UNKNOWN,SYBR,None,20.423540115356445,20.436492919921875,0.01831803098320961,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.91896372800034165,4.2603816986083984,3.7730588912963867,75.128738403320312,,,,N,N,N,N,N
60,E12,FALSE,CR2Apal_36C_79,A,UNKNOWN,SYBR,None,25.900533676147461,25.675111770629883,0.31879472732543945,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95985951226286825,4.8983068466186523,4.391362190246582,87.749267578125,,,,N,N,N,N,N
61,F1,FALSE,CR2Apal_36C_80,Apal,UNKNOWN,SYBR,None,18.880664825439453,18.959331512451172,0.11125149577856064,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.9476267546812972,4.2408061027526855,3.5867083072662354,74.847572326660156,,,,N,N,N,N,N
62,F2,FALSE,CR2Apal_36C_80,A,UNKNOWN,SYBR,None,23.193710327148438,23.300449371337891,0.15095315873622894,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94792629281455087,5.0549211502075195,4.458587646484375,87.326942443847656,,,,N,N,N,N,N
63,F3,FALSE,CR2Apal_36C_80,Apal,UNKNOWN,SYBR,None,19.037998199462891,18.959331512451172,0.11125149577856064,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95374856158268728,4.3009023666381836,3.6395208835601807,75.110763549804688,,,,N,N,N,N,N
64,F4,FALSE,CR2Apal_36C_80,A,UNKNOWN,SYBR,None,23.407190322875977,23.300449371337891,0.15095315873622894,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94881810509045206,5.1658716201782227,4.5559420585632324,87.719657897949219,,,,N,N,N,N,N
65,F5,FALSE,CR2Apal_36C_81,Apal,UNKNOWN,SYBR,None,18.956527709960938,19.007438659667969,0.071997605264186859,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93495093657800976,4.399144172668457,3.6565654277801514,74.971450805664062,,,,N,N,N,N,N
66,F6,FALSE,CR2Apal_36C_81,A,UNKNOWN,SYBR,None,22.874731063842773,22.970605850219727,0.1355874240398407,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93192433673875341,5.2744302749633789,4.5768380165100098,87.582000732421875,,,,N,N,N,N,N
67,F7,FALSE,CR2Apal_36C_81,Apal,UNKNOWN,SYBR,None,19.058347702026367,19.007438659667969,0.071997605264186859,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93975200500520617,4.3346958160400391,3.6287736892700195,75.121978759765625,,,,N,N,N,N,N
68,F8,FALSE,CR2Apal_36C_81,A,UNKNOWN,SYBR,None,23.06648063659668,22.970605850219727,0.1355874240398407,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9362671641081205,5.171349048614502,4.5885257720947266,87.601493835449219,,,,N,N,N,N,N
69,F9,FALSE,CR2Apal_36C_82,Apal,UNKNOWN,SYBR,None,18.964197158813477,19.068778991699219,0.14790239930152893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.94587081261295147,4.4285802841186523,3.7027726173400879,75.136245727539062,,,,N,N,N,N,N
70,F10,FALSE,CR2Apal_36C_82,A,UNKNOWN,SYBR,None,24.338968276977539,24.373271942138672,0.048512708395719528,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94463743097089892,5.0161857604980469,4.4668021202087402,87.765708923339844,,,,N,N,N,N,N
71,F11,FALSE,CR2Apal_36C_82,Apal,UNKNOWN,SYBR,None,19.173362731933594,19.068778991699219,0.14790239930152893,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.95865613310307207,4.0047016143798828,4.0017518997192383,75.128738403320312,,,,N,N,N,N,N
72,F12,FALSE,CR2Apal_36C_82,A,UNKNOWN,SYBR,None,24.407575607299805,24.373271942138672,0.048512708395719528,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93657946675794013,5.165168285369873,4.1309599876403809,87.749267578125,,,,N,N,N,N,N
73,G1,FALSE,CR2Apal_36C_83,Apal,UNKNOWN,SYBR,None,19.745326995849609,20.115495681762695,0.52349758148193359,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.9564671032873564,4.252436637878418,3.743969202041626,74.707351684570312,,,,N,N,Y,N,N
74,G2,FALSE,CR2Apal_36C_83,A,UNKNOWN,SYBR,None,25.033884048461914,25.088344573974609,0.077018812298774719,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95418843416029087,4.8218502998352051,4.369929313659668,87.326942443847656,,,,N,N,N,N,N
75,G3,FALSE,CR2Apal_36C_83,Apal,UNKNOWN,SYBR,None,20.485664367675781,20.115495681762695,0.52349758148193359,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93800044585925024,4.2518119812011719,3.7549989223480225,74.970672607421875,,,,N,N,Y,N,N
76,G4,FALSE,CR2Apal_36C_83,A,UNKNOWN,SYBR,None,25.142805099487305,25.088344573974609,0.077018812298774719,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95561498604083783,5.0117573738098145,4.5589494705200195,87.719657897949219,,,,N,N,N,N,N
77,G5,FALSE,CR2Apal_36C_84,Apal,UNKNOWN,SYBR,None,19.569795608520508,19.478389739990234,0.12926876544952393,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.93745836928435577,4.3581981658935547,3.8029570579528809,74.971450805664062,,,,N,N,N,N,N
