24,B12,FALSE,CR2Apal_36C_125,A,UNKNOWN,SYBR,None,27.381420135498047,27.428455352783203,0.066516496241092682,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96351148149243626,5.660865306854248,5.1752057075500488,87.973388671875,,,,N,N,N,N,N
25,C1,FALSE,CR2Apal_36C_126,Apal,UNKNOWN,SYBR,None,27.541265487670898,27.782857894897461,0.34166327118873596,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95669516865380244,4.2635979652404785,3.7325348854064941,74.964614868164062,,,,N,N,N,N,N
26,C2,FALSE,CR2Apal_36C_126,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.41333460807800293,0.0087729711085557938,84.00958251953125,74.964614868164062,92.9132080078125,61.962482452392578,Y,Y,N,Y,N
27,C3,FALSE,CR2Apal_36C_126,Apal,UNKNOWN,SYBR,None,28.024450302124023,27.782857894897461,0.34166327118873596,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.93068260768598865,4.1394143104553223,3.6453046798706055,75.077934265136719,,,,N,N,N,N,N
28,C4,FALSE,CR2Apal_36C_126,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.37509208917617798,-0.016573866829276085,90.035263061523438,62.096103668212891,74.93682861328125,81.992172241210938,Y,Y,N,Y,N
29,C5,FALSE,CR2Apal_36C_127,Apal,UNKNOWN,SYBR,None,22.59918212890625,22.546657562255859,0.074280954897403717,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93788657673645082,4.4120888710021973,3.9942970275878906,74.941757202148438,,,,N,N,N,N,N
30,C6,FALSE,CR2Apal_36C_127,A,UNKNOWN,SYBR,None,27.758617401123047,27.467674255371094,0.41145575046539307,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.9613356294678842,5.4553399085998535,5.0258231163024902,87.64691162109375,,,,N,N,N,N,N
31,C7,FALSE,CR2Apal_36C_127,Apal,UNKNOWN,SYBR,None,22.494132995605469,22.546657562255859,0.074280954897403717,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94099323859965622,4.5024209022521973,4.0154614448547363,74.954093933105469,,,,N,N,N,N,N
32,C8,FALSE,CR2Apal_36C_127,A,UNKNOWN,SYBR,None,27.176731109619141,27.467674255371094,0.41145575046539307,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95687133337785757,5.575566291809082,5.1394929885864258,87.669563293457031,,,,N,N,N,N,N
33,C9,FALSE,CR2Apal_36C_128,Apal,UNKNOWN,SYBR,None,26.667654037475586,26.585824966430664,0.11572378128767014,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.94463658907011427,4.2508153915405273,3.8185453414916992,75.113334655761719,,,,N,N,N,N,N
34,C10,FALSE,CR2Apal_36C_128,A,UNKNOWN,SYBR,None,29.932674407958984,31.066047668457031,1.6028318405151367,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.95959643849415499,4.8790388107299805,4.5742964744567871,87.983566284179688,,,,N,N,Y,N,N
35,C11,FALSE,CR2Apal_36C_128,Apal,UNKNOWN,SYBR,None,26.503995895385742,26.585824966430664,0.11572378128767014,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.94964453347313438,4.2086052894592285,3.8235650062561035,75.109481811523438,,,,N,N,N,N,N
36,C12,FALSE,CR2Apal_36C_128,A,UNKNOWN,SYBR,None,32.199420928955078,31.066047668457031,1.6028318405151367,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.95425126021535933,4.0452456474304199,3.6141180992126465,88.11474609375,,,,N,N,Y,N,N
37,D1,FALSE,CR2Apal_36C_129,Apal,UNKNOWN,SYBR,None,21.215145111083984,21.233982086181641,0.026640854775905609,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.95788337069434348,4.3448905944824219,3.8643438816070557,74.823287963867188,,,,N,N,N,N,N
38,D2,FALSE,CR2Apal_36C_129,A,UNKNOWN,SYBR,None,26.623920440673828,26.410762786865234,0.30144909024238586,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95634266630731013,5.5068645477294922,4.9559841156005859,87.542770385742188,,,,N,N,N,N,N
39,D3,FALSE,CR2Apal_36C_129,Apal,UNKNOWN,SYBR,None,21.25282096862793,21.233982086181641,0.026640854775905609,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94482478654765123,4.2428188323974609,3.7596235275268555,75.077934265136719,,,,N,N,N,N,N
40,D4,FALSE,CR2Apal_36C_129,A,UNKNOWN,SYBR,None,26.197607040405273,26.410762786865234,0.30144909024238586,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95599411566701897,5.7073097229003906,5.1785058975219727,87.777557373046875,,,,N,N,N,N,N
41,D5,FALSE,CR2Apal_36C_130,Apal,UNKNOWN,SYBR,None,18.598810195922852,18.640926361083984,0.059562601149082184,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.96299834282354513,4.5826950073242188,3.7685480117797852,74.941757202148438,,,,N,N,N,N,N
42,D6,FALSE,CR2Apal_36C_130,A,UNKNOWN,SYBR,None,21.603237152099609,21.484157562255859,0.16840396821498871,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.8976764807681239,6.1597528457641602,5.2236323356628418,87.64691162109375,,,,N,N,N,N,N
43,D7,FALSE,CR2Apal_36C_130,Apal,UNKNOWN,SYBR,None,18.68304443359375,18.640926361083984,0.059562601149082184,,,,,,,,FALSE,0.10000000000000001,TRUE,3,14,Amp,,0.95619618747034851,4.5886030197143555,3.7262792587280273,74.954093933105469,,,,N,N,N,N,N
44,D8,FALSE,CR2Apal_36C_130,A,UNKNOWN,SYBR,None,21.365077972412109,21.484157562255859,0.16840396821498871,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9005452549036681,6.2267704010009766,5.3030076026916504,87.669563293457031,,,,N,N,N,N,N
45,D9,FALSE,CR2Apal_36C_131,Apal,UNKNOWN,SYBR,None,20.547740936279297,20.517436981201172,0.042856264859437943,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93197137500475791,4.4040803909301758,3.9886722564697266,75.113334655761719,,,,N,N,N,N,N
46,D10,FALSE,CR2Apal_36C_131,A,UNKNOWN,SYBR,None,26.089996337890625,26.039224624633789,0.071802042424678802,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95520753248220291,5.766211986541748,5.2607684135437012,87.842132568359375,,,,N,N,N,N,N
47,D11,FALSE,CR2Apal_36C_131,Apal,UNKNOWN,SYBR,None,20.487133026123047,20.517436981201172,0.042856264859437943,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94232636446286899,4.3900461196899414,3.8719897270202637,75.109481811523438,,,,N,N,N,N,N
48,D12,FALSE,CR2Apal_36C_131,A,UNKNOWN,SYBR,None,25.988452911376953,26.039224624633789,0.071802042424678802,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95825413654611868,5.7742748260498047,5.2391891479492188,87.832023620605469,,,,N,N,N,N,N
49,E1,FALSE,CR2Apal_36C_132,Apal,UNKNOWN,SYBR,None,21.916818618774414,21.92793083190918,0.015715042129158974,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95036509470938424,4.3480181694030762,3.9073629379272461,74.823287963867188,,,,N,N,N,N,N
50,E2,FALSE,CR2Apal_36C_132,A,UNKNOWN,SYBR,None,26.474584579467773,26.412784576416016,0.087397053837776184,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96194052427867605,5.586784839630127,5.094691276550293,87.542770385742188,,,,N,N,N,N,N
51,E3,FALSE,CR2Apal_36C_132,Apal,UNKNOWN,SYBR,None,21.939043045043945,21.92793083190918,0.015715042129158974,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94111566279459102,4.3752474784851074,3.933009147644043,75.077934265136719,,,,N,N,N,N,N
52,E4,FALSE,CR2Apal_36C_132,A,UNKNOWN,SYBR,None,26.350986480712891,26.412784576416016,0.087397053837776184,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95769651210250062,5.7197680473327637,5.23797607421875,87.777557373046875,,,,N,N,N,N,N
53,E5,FALSE,CR2Apal_36C_133,Apal,UNKNOWN,SYBR,None,21.63203239440918,21.603240966796875,0.040717229247093201,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94169229815170252,4.5515737533569336,4.082146167755127,74.941757202148438,,,,N,N,N,N,N
54,E6,FALSE,CR2Apal_36C_133,A,UNKNOWN,SYBR,None,26.290777206420898,26.134025573730469,0.22168028354644775,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.95754129769167173,5.7499499320983887,5.2117657661437988,87.64691162109375,,,,N,N,N,N,N
55,E7,FALSE,CR2Apal_36C_133,Apal,UNKNOWN,SYBR,None,21.57444953918457,21.603240966796875,0.040717229247093201,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94193632242795866,4.5851082801818848,4.1000046730041504,74.954093933105469,,,,N,N,N,N,N
56,E8,FALSE,CR2Apal_36C_133,A,UNKNOWN,SYBR,None,25.977273941040039,26.134025573730469,0.22168028354644775,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.9541247479531918,5.7099709510803223,5.3261837959289551,87.669563293457031,,,,N,N,N,N,N
57,E9,FALSE,CR2Apal_36C_134,Apal,UNKNOWN,SYBR,None,20.876581192016602,20.904468536376953,0.039437312632799149,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93435461068854386,4.5132036209106445,4.0090208053588867,75.113334655761719,,,,N,N,N,N,N
58,E10,FALSE,CR2Apal_36C_134,A,UNKNOWN,SYBR,None,25.310840606689453,25.466926574707031,0.22073754668235779,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95736775651443962,5.8571076393127441,5.3602819442749023,87.842132568359375,,,,N,N,N,N,N
59,E11,FALSE,CR2Apal_36C_134,Apal,UNKNOWN,SYBR,None,20.932353973388672,20.904468536376953,0.039437312632799149,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.91762621739883743,4.3008503913879395,3.8675799369812012,75.109481811523438,,,,N,N,N,N,N
60,E12,FALSE,CR2Apal_36C_134,A,UNKNOWN,SYBR,None,25.623010635375977,25.466926574707031,0.22073754668235779,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95749711506699231,5.8392810821533203,5.3058204650878906,87.832023620605469,,,,N,N,N,N,N
61,F1,FALSE,CR2Apal_36C_135,Apal,UNKNOWN,SYBR,None,20.440366744995117,20.446367263793945,0.0084860147908329964,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94320884827962093,4.4148492813110352,3.926952600479126,74.823287963867188,,,,N,N,N,N,N
62,F2,FALSE,CR2Apal_36C_135,A,UNKNOWN,SYBR,None,24.31633186340332,24.469051361083984,0.21597664058208466,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.95534386973537344,5.8097000122070312,5.2952766418457031,87.401443481445312,,,,N,N,N,N,N
63,F3,FALSE,CR2Apal_36C_135,Apal,UNKNOWN,SYBR,None,20.452367782592773,20.446367263793945,0.0084860147908329964,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.9342542927872447,4.4432258605957031,3.9161286354064941,74.93682861328125,,,,N,N,N,N,N
64,F4,FALSE,CR2Apal_36C_135,A,UNKNOWN,SYBR,None,24.621768951416016,24.469051361083984,0.21597664058208466,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96010285307722254,5.9030394554138184,5.3791961669921875,87.777557373046875,,,,N,N,N,N,N
65,F5,FALSE,CR2Apal_36C_136,Apal,UNKNOWN,SYBR,None,20.860883712768555,20.483932495117188,0.53308951854705811,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93718569650957162,4.3499374389648438,3.8283717632293701,74.941757202148438,,,,N,N,Y,N,N
66,F6,FALSE,CR2Apal_36C_136,A,UNKNOWN,SYBR,None,22.837825775146484,22.809823989868164,0.039600502699613571,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.94785428263988269,6.1021757125854492,5.4914932250976562,87.64691162109375,,,,N,N,N,N,N
67,F7,FALSE,CR2Apal_36C_136,Apal,UNKNOWN,SYBR,None,20.10698127746582,20.483932495117188,0.53308951854705811,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94737619286779418,4.4762606620788574,3.9278998374938965,74.954093933105469,,,,N,N,Y,N,N
68,F8,FALSE,CR2Apal_36C_136,A,UNKNOWN,SYBR,None,22.781822204589844,22.809823989868164,0.039600502699613571,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94651484136758979,6.0360808372497559,5.4982047080993652,87.669563293457031,,,,N,N,N,N,N
69,F9,FALSE,CR2Apal_36C_137,Apal,UNKNOWN,SYBR,None,23.069440841674805,23.098369598388672,0.040911439806222916,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95069247460016071,4.453463077545166,3.9787046909332275,75.113334655761719,,,,N,N,N,N,N
70,F10,FALSE,CR2Apal_36C_137,A,UNKNOWN,SYBR,None,26.97828483581543,26.736778259277344,0.34154322743415833,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95647484153606321,5.5198988914489746,5.0597162246704102,87.700706481933594,,,,N,N,N,N,N
71,F11,FALSE,CR2Apal_36C_137,Apal,UNKNOWN,SYBR,None,23.127298355102539,23.098369598388672,0.040911439806222916,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9379935842193915,4.0223231315612793,4.2676715850830078,75.109481811523438,,,,N,N,N,N,N
72,F12,FALSE,CR2Apal_36C_137,A,UNKNOWN,SYBR,None,26.495269775390625,26.736778259277344,0.34154322743415833,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95494373584186565,5.7244133949279785,4.7462191581726074,87.832023620605469,,,,N,N,N,N,N
73,G1,FALSE,CR2Apal_36C_138,Apal,UNKNOWN,SYBR,None,18.888114929199219,18.77128791809082,0.16521833837032318,,,,,,,,FALSE,0.10000000000000001,TRUE,3,16,Amp,,0.94267754569547557,4.3947892189025879,3.732689380645752,74.681961059570312,,,,N,N,N,N,N
74,G2,FALSE,CR2Apal_36C_138,A,UNKNOWN,SYBR,None,21.651069641113281,21.643459320068359,0.010762618854641914,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93463928274788266,5.9852147102355957,5.3074588775634766,87.401443481445312,,,,N,N,N,N,N
75,G3,FALSE,CR2Apal_36C_138,Apal,UNKNOWN,SYBR,None,18.654460906982422,18.77128791809082,0.16521833837032318,,,,,,,,FALSE,0.10000000000000001,TRUE,3,15,Amp,,0.96056970297811295,4.3985133171081543,3.6634342670440674,74.93682861328125,,,,N,N,N,N,N
76,G4,FALSE,CR2Apal_36C_138,A,UNKNOWN,SYBR,None,21.635848999023438,21.643459320068359,0.010762618854641914,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93715488490872145,6.0942678451538086,5.4147911071777344,87.636451721191406,,,,N,N,N,N,N
77,G5,FALSE,CR2Apal_36C_139,Apal,UNKNOWN,SYBR,None,24.543682098388672,24.487262725830078,0.079789042472839355,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94685349625327486,4.3854756355285645,3.9762961864471436,74.941757202148438,,,,N,N,N,N,N
