24,B12,FALSE,CR2Apal_36C_168,A,UNKNOWN,SYBR,None,27.824003219604492,27.65235710144043,0.24274426698684692,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.96453139173682889,5.2263312339782715,4.7223291397094727,88.025047302246094,,,,N,N,N,N,N
25,C1,FALSE,CR2Apal_36C_169,Apal,UNKNOWN,SYBR,None,22.807624816894531,22.857519149780273,0.070561245083808899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.96145401253585439,4.250819206237793,3.6995830535888672,74.985153198242188,,,,N,N,N,N,N
26,C2,FALSE,CR2Apal_36C_169,A,UNKNOWN,SYBR,None,27.765869140625,27.458686828613281,0.43442139029502869,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.96488943215654444,5.0522933006286621,4.6251540184020996,87.743576049804688,,,,N,N,N,N,N
27,C3,FALSE,CR2Apal_36C_169,Apal,UNKNOWN,SYBR,None,22.907413482666016,22.857519149780273,0.070561245083808899,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9304247352741315,4.2408628463745117,3.7144854068756104,75.110221862792969,,,,N,N,N,N,N
28,C4,FALSE,CR2Apal_36C_169,A,UNKNOWN,SYBR,None,27.151504516601562,27.458686828613281,0.43442139029502869,,,,,,,,FALSE,0.10000000000000001,TRUE,3,23,Amp,,0.95832495248612404,5.437952995300293,4.986720085144043,87.859756469726562,,,,N,N,N,N,N
29,C5,FALSE,CR2Apal_36C_170,Apal,UNKNOWN,SYBR,None,23.3114013671875,23.244285583496094,0.094917401671409607,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.93198205568412162,4.2024097442626953,3.7944793701171875,75.106941223144531,,,,N,N,N,N,N
30,C6,FALSE,CR2Apal_36C_170,A,UNKNOWN,SYBR,None,28.769655227661133,28.661405563354492,0.15308813750743866,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.95369221634326062,5.1143479347229004,4.6758303642272949,87.855819702148438,,,,N,N,N,N,N
31,C7,FALSE,CR2Apal_36C_170,Apal,UNKNOWN,SYBR,None,23.177167892456055,23.244285583496094,0.094917401671409607,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.93934535159963817,4.4030365943908691,3.9444806575775146,75.119102478027344,,,,N,N,N,N,N
32,C8,FALSE,CR2Apal_36C_170,A,UNKNOWN,SYBR,None,28.553155899047852,28.661405563354492,0.15308813750743866,,,,,,,,FALSE,0.10000000000000001,TRUE,3,24,Amp,,0.95341554628264202,5.2700619697570801,4.8855977058410645,87.8775634765625,,,,N,N,N,N,N
33,C9,FALSE,CR2Apal_36C_171,Apal,UNKNOWN,SYBR,None,20.901943206787109,21.015026092529297,0.15992200374603271,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93263933613785155,4.3729362487792969,3.8725221157073975,75.273979187011719,,,,N,N,N,N,N
34,C10,FALSE,CR2Apal_36C_171,A,UNKNOWN,SYBR,None,25.595495223999023,25.5958251953125,0.00046664991532452404,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96325265213660283,5.6730804443359375,5.2917299270629883,88.042266845703125,,,,N,N,N,N,N
35,C11,FALSE,CR2Apal_36C_171,Apal,UNKNOWN,SYBR,None,21.128107070922852,21.015026092529297,0.15992200374603271,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.92738833516493557,4.1806206703186035,3.6351587772369385,75.12542724609375,,,,N,N,N,N,N
36,C12,FALSE,CR2Apal_36C_171,A,UNKNOWN,SYBR,None,25.596155166625977,25.5958251953125,0.00046664991532452404,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.96992896132799511,5.5692667961120605,5.1182565689086914,87.884834289550781,,,,N,N,N,N,N
37,D1,FALSE,CR2Apal_36C_172,Apal,UNKNOWN,SYBR,None,24.980813980102539,25.097457885742188,0.16495804488658905,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.97115073195793589,4.1787705421447754,3.7835214138031006,74.844955444335938,,,,N,N,N,N,N
38,D2,FALSE,CR2Apal_36C_172,A,UNKNOWN,SYBR,None,29.434822082519531,29.760105133056641,0.46001970767974854,,,,,,,,FALSE,0.10000000000000001,TRUE,3,25,Amp,,0.96469923994136586,4.8569126129150391,4.3783631324768066,87.603370666503906,,,,N,N,N,N,N
39,D3,FALSE,CR2Apal_36C_172,Apal,UNKNOWN,SYBR,None,25.214099884033203,25.097457885742188,0.16495804488658905,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94822922933076748,4.2239565849304199,3.8081474304199219,75.110221862792969,,,,N,N,N,N,N
40,D4,FALSE,CR2Apal_36C_172,A,UNKNOWN,SYBR,None,30.08538818359375,29.760105133056641,0.46001970767974854,,,,,,,,FALSE,0.10000000000000001,TRUE,3,26,Amp,,0.95434277462398598,4.7461223602294922,4.2843637466430664,87.859756469726562,,,,N,N,N,N,N
41,D5,FALSE,CR2Apal_36C_108,Apal,UNKNOWN,SYBR,None,25.425302505493164,25.304241180419922,0.17120791971683502,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9396157878185698,4.3388161659240723,3.9018673896789551,74.966842651367188,,,,N,N,N,N,N
42,D6,FALSE,CR2Apal_36C_108,A,UNKNOWN,SYBR,None,33.225574493408203,35.760040283203125,3.5842785835266113,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.91915351188787597,3.4111382961273193,2.978102445602417,87.855819702148438,,,,N,N,Y,N,N
43,D7,FALSE,CR2Apal_36C_108,Apal,UNKNOWN,SYBR,None,25.183177947998047,25.304241180419922,0.17120791971683502,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.94142168581689445,4.371800422668457,3.9421298503875732,74.978897094726562,,,,N,N,N,N,N
44,D8,FALSE,CR2Apal_36C_108,A,UNKNOWN,SYBR,None,38.294509887695312,35.760040283203125,3.5842785835266113,,,,,,,,FALSE,0.10000000000000001,TRUE,3,34,Inconclusive,,0.43791454243086381,0.69463914632797241,0.28610265254974365,84.5126953125,87.737358093261719,61.519432067871094,,Y,N,Y,Y,N
45,D9,FALSE,CR2Apal_36C_109,Apal,UNKNOWN,SYBR,None,22.499542236328125,22.461490631103516,0.053813096135854721,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.93971388352683927,4.3472790718078613,3.9308845996856689,75.1336669921875,,,,N,N,N,N,N
46,D10,FALSE,CR2Apal_36C_109,A,UNKNOWN,SYBR,None,33.450660705566406,34.544490814208984,1.5469093322753906,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.93624168570758914,3.0612168312072754,2.6130414009094238,84.674812316894531,,,,N,N,Y,N,N
47,D11,FALSE,CR2Apal_36C_109,Apal,UNKNOWN,SYBR,None,22.423439025878906,22.461490631103516,0.053813096135854721,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95646750786140033,4.1203441619873047,3.6915409564971924,75.12542724609375,,,,N,N,N,N,N
48,D12,FALSE,CR2Apal_36C_109,A,UNKNOWN,SYBR,None,35.638320922851562,34.544490814208984,1.5469093322753906,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Inconclusive,,0.90231444342251732,1.7332035303115845,1.2823129892349243,84.659927368164062,,,,N,N,Y,N,N
49,E1,FALSE,CR2Apal_36C_110,Apal,UNKNOWN,SYBR,None,25.653280258178711,25.757070541381836,0.14678162336349487,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.97201383088836235,4.2032103538513184,3.8261075019836426,74.844955444335938,,,,N,N,N,N,N
50,E2,FALSE,CR2Apal_36C_110,A,UNKNOWN,SYBR,None,Undetermined,36.394039154052734,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,39,No Amp,,0,0.42303347587585449,-0.0036575335543602705,84.5189208984375,64.32977294921875,87.743576049804688,71.62030029296875,Y,Y,N,Y,N
51,E3,FALSE,CR2Apal_36C_110,Apal,UNKNOWN,SYBR,None,25.860860824584961,25.757070541381836,0.14678162336349487,,,,,,,,FALSE,0.10000000000000001,TRUE,3,22,Amp,,0.9497434635004246,4.2353920936584473,3.8288552761077881,75.110221862792969,,,,N,N,N,N,N
52,E4,FALSE,CR2Apal_36C_110,A,UNKNOWN,SYBR,None,36.394039154052734,36.394039154052734,,,,,,,,,FALSE,0.10000000000000001,TRUE,3,32,Inconclusive,,0.82149191162522839,1.3169695138931274,0.87146365642547607,84.637344360351562,,,,N,N,N,N,N
53,E5,FALSE,CR2Apal_36C_111,Apal,UNKNOWN,SYBR,None,23.491489410400391,23.456653594970703,0.049265284091234207,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.936868382633255,4.4285736083984375,3.9740428924560547,74.966842651367188,,,,N,N,N,N,N
54,E6,FALSE,CR2Apal_36C_111,A,UNKNOWN,SYBR,None,34.395626068115234,35.83258056640625,2.032163143157959,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Amp,,0.90927633332157332,2.679649829864502,2.1650021076202393,84.493484497070312,,,,N,N,Y,N,N
55,E7,FALSE,CR2Apal_36C_111,Apal,UNKNOWN,SYBR,None,23.421817779541016,23.456653594970703,0.049265284091234207,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94172788559338716,4.4751195907592773,4.0356264114379883,75.119102478027344,,,,N,N,N,N,N
56,E8,FALSE,CR2Apal_36C_111,A,UNKNOWN,SYBR,None,37.269538879394531,35.83258056640625,2.032163143157959,,,,,,,,FALSE,0.10000000000000001,TRUE,3,32,Inconclusive,,0.71482512235734019,0.85996526479721069,0.53583186864852905,84.5126953125,,,,Y,N,Y,N,N
57,E9,FALSE,CR2Apal_36C_112,Apal,UNKNOWN,SYBR,None,21.597631454467773,21.747920989990234,0.21254150569438934,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.94757182207381341,4.4170923233032227,3.9775435924530029,75.1336669921875,,,,N,N,N,N,N
58,E10,FALSE,CR2Apal_36C_112,A,UNKNOWN,SYBR,None,33.5521240234375,33.969074249267578,0.58965665102005005,,,,,,,,FALSE,0.10000000000000001,TRUE,3,29,Amp,,0.93407626239149955,3.0230197906494141,2.5616569519042969,84.674812316894531,,,,N,N,Y,N,N
59,E11,FALSE,CR2Apal_36C_112,Apal,UNKNOWN,SYBR,None,21.898210525512695,21.747920989990234,0.21254150569438934,,,,,,,,FALSE,0.10000000000000001,TRUE,3,17,Amp,,0.93841352334804085,4.2262363433837891,3.842707633972168,75.12542724609375,,,,N,N,N,N,N
60,E12,FALSE,CR2Apal_36C_112,A,UNKNOWN,SYBR,None,34.386024475097656,33.969074249267578,0.58965665102005005,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.93278360414364303,2.5369491577148438,2.063762903213501,84.659927368164062,,,,N,N,Y,N,N
61,F1,FALSE,CR2Apal_36C_113,Apal,UNKNOWN,SYBR,None,24.699550628662109,24.729042053222656,0.041708521544933319,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.96974424310955676,4.2508573532104492,3.8671391010284424,74.844955444335938,,,,N,N,N,N,N
62,F2,FALSE,CR2Apal_36C_113,A,UNKNOWN,SYBR,None,35.912227630615234,33.8341064453125,2.9389045238494873,,,,,,,,FALSE,0.10000000000000001,TRUE,3,32,Inconclusive,,0.89754190538173795,1.4845739603042603,1.0969178676605225,84.378715515136719,,,,N,N,Y,N,N
63,F3,FALSE,CR2Apal_36C_113,Apal,UNKNOWN,SYBR,None,24.758535385131836,24.729042053222656,0.041708521544933319,,,,,,,,FALSE,0.10000000000000001,TRUE,3,21,Amp,,0.95401988522677406,4.2740507125854492,3.8662600517272949,74.970115661621094,,,,N,N,N,N,N
64,F4,FALSE,CR2Apal_36C_113,A,UNKNOWN,SYBR,None,31.755989074707031,33.8341064453125,2.9389045238494873,,,,,,,,FALSE,0.10000000000000001,TRUE,3,28,Amp,,0.97113887405829091,3.9743337631225586,3.5734257698059082,87.999862670898438,,,,N,N,Y,N,N
65,F5,FALSE,CR2Apal_36C_114,Apal,UNKNOWN,SYBR,None,24.402240753173828,24.402231216430664,1.3486991520039737e-05,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.94636982066252551,4.3115897178649902,3.8692319393157959,74.966842651367188,,,,N,N,N,N,N
66,F6,FALSE,CR2Apal_36C_114,A,UNKNOWN,SYBR,None,33.651435852050781,34.300125122070312,0.91738516092300415,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.93311539490894191,3.0135600566864014,2.5332393646240234,84.493484497070312,,,,N,N,Y,N,N
67,F7,FALSE,CR2Apal_36C_114,Apal,UNKNOWN,SYBR,None,24.4022216796875,24.402231216430664,1.3486991520039737e-05,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.9465602117841716,4.3252944946289062,3.9162592887878418,75.119102478027344,,,,N,N,N,N,N
68,F8,FALSE,CR2Apal_36C_114,A,UNKNOWN,SYBR,None,34.948814392089844,34.300125122070312,0.91738516092300415,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.90629492876047257,2.1467885971069336,1.7473021745681763,84.5126953125,,,,N,N,Y,N,N
69,F9,FALSE,CR2Apal_36C_115,Apal,UNKNOWN,SYBR,None,24.234827041625977,24.254812240600586,0.028263339772820473,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94417846036249009,4.3879909515380859,3.9237501621246338,75.1336669921875,,,,N,N,N,N,N
70,F10,FALSE,CR2Apal_36C_115,A,UNKNOWN,SYBR,None,37.203273773193359,35.487350463867188,2.4266846179962158,,,,,,,,FALSE,0.10000000000000001,TRUE,3,31,Inconclusive,,0.78395044845663986,0.93520116806030273,0.54966866970062256,84.674812316894531,,,,Y,N,Y,N,N
71,F11,FALSE,CR2Apal_36C_115,Apal,UNKNOWN,SYBR,None,24.274797439575195,24.254812240600586,0.028263339772820473,,,,,,,,FALSE,0.10000000000000001,TRUE,3,20,Amp,,0.94797240832700058,3.9613947868347168,4.2379670143127441,75.12542724609375,,,,N,N,N,N,N
72,F12,FALSE,CR2Apal_36C_115,A,UNKNOWN,SYBR,None,33.77142333984375,35.487350463867188,2.4266846179962158,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.93569875196667562,3.2448439598083496,2.3299565315246582,84.51971435546875,,,,N,N,Y,N,N
73,G1,FALSE,CR2Apal_36C_116,Apal,UNKNOWN,SYBR,None,22.892890930175781,22.957893371582031,0.091925986111164093,,,,,,,,FALSE,0.10000000000000001,TRUE,3,19,Amp,,0.95915279610184689,4.1577816009521484,3.8075911998748779,74.704750061035156,,,,N,N,N,N,N
74,G2,FALSE,CR2Apal_36C_116,A,UNKNOWN,SYBR,None,31.605859756469727,32.998096466064453,1.968921422958374,,,,,,,,FALSE,0.10000000000000001,TRUE,3,27,Amp,,0.95981013965307527,3.9055936336517334,3.5152738094329834,87.603370666503906,,,,N,N,Y,N,N
75,G3,FALSE,CR2Apal_36C_116,Apal,UNKNOWN,SYBR,None,23.022893905639648,22.957893371582031,0.091925986111164093,,,,,,,,FALSE,0.10000000000000001,TRUE,3,18,Amp,,0.95464065072255777,4.2580652236938477,3.8500406742095947,74.970115661621094,,,,N,N,N,N,N
76,G4,FALSE,CR2Apal_36C_116,A,UNKNOWN,SYBR,None,34.390335083007812,32.998096466064453,1.968921422958374,,,,,,,,FALSE,0.10000000000000001,TRUE,3,30,Amp,,0.9415102905065269,2.3806440830230713,2.0014405250549316,84.497238159179688,,,,N,N,Y,N,N
